index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://media-hosting.imagekit.io/b704ac8637bd4ba8/857059326594b8c13b53e78162f706c4b0aee7e1b877594746.png?Expires=1840850123&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=Pf92-H-qtLMTHuF5LC9CEKbZYFKjLin-XvYYp8Dtp-0rtyOJP2wPwqeaLlTUx1gOeIAJGHBllKVUQoIfXHYzlTVpT2Vf4TGGubDLil5VRWQsJcUONg54triScKy53WbLwy2pSZ7ycjVa7HKE1n6HZS3VQjCIwJo8SVkmp56RrLoqxEmxj01gaMd6xiLt7LqQWVAhfIkm9EEp3D~tCIeBCdsA6-TF3qlPl5Br9X42dP~u4210oRGj1q6Mc32HVq3rmY5N-bUMacV6BJXZrSAPP22Kb5RNfW3FuzF~fyhugBAV5s4z2wYyagXTx6C52d4yhhzfue~LwWmb50Lt7a9hHg__,https://agribegri.com/products/propiconazole-25--ec-fungicide--systemic-fungicide-for-plants.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://media-hosting.imagekit.io/e86a04d32dbf4d45/screenshot_1746242226964.png?Expires=1840850230&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=lug-Y0qTW8a9V4~dFacHd16KyDoIUUqRHgeaQX1J3FrS3PjfJ4SQeXc~tV9h0y2Rixlpn3vq1rLSfJepUgYkvcaKd7Zh-8j0rVl58YL17tOB5xGuPRsVP6MzJMI-~NQgwDTJkE9-6NP~7GgzjIVEcqgPDLYWI9xZHa96tt2FWzji47nBE64MyT8mDGQD4VBPmF8PovxMZji9GmPNGbYOqkStav9luR0S-zMudCelrde3BSlrdYow4ia4rrQUdm-s2Q~-3mfSZU3eOJ-Lejv9Q88fQR2ftnwHGaWk9ixfgX~j3NUq7e~VT4FIu7WZeW0CP8hyIbAsvO6UdV~Z~URcmQ__,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://www.amazon.in/Green-Yantra-Booster-Nutrition-Panchgvaya/dp/B082YBSLH4
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://media-hosting.imagekit.io/7e6ea54d45514a2b/screenshot_1746242296372.png?Expires=1840850298&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=BKMa4urm-FqJ2xdbqCcAzMnZz-zvl0puLj5LOS4UU35hwv7FVgugfRFkbzA7xa-m~ID8BLSZpBuKz0h~MgF4pMkSrPt6oGVUNGdxtRlM-4ky-WrSG9DhZiWkaRtaYiWVNnIfX1AmrI5H4mJeY402wGD32I74jzlGB-BJeV1MwDRV86NEctAeeJ1rZoEcQRs~Gg-D9fvzBkBN3y8JKhmuXH1Mq3uXGWEFI00WeRaAorDihVxVvQvhZEByC~A8WvXNgQIJ~kDRnV4e~8YoGVVWbgBWPjhl3qw879qM~CIwQ2-OZ-b8wwWVW18XMINCkDDbVZnLUgqaXTd~wMy8TsAwgw__,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://www.amazon.in/PLANTIC-Fertilizer-Flowering-Blooming-BloomDrop/dp/B08YKFP4BM
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://www.indiamart.com/proddetail/m45-mancozeb-75-wp-fungicide-15789700491.html
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://media-hosting.imagekit.io/7a1a9dcbbec34824/screenshot_1746242371413.png?Expires=1840850373&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=gqEp4IXvMgeZRMBcNmifbolwJOpzrw2j124Q70S6s6RbH4UP-TQV46~ZNa3IfhM14rSqCjHcAZMHlBR~7aqB2vgv3u9In5As1zK-1qn1r87mwbeozliFpoFLO7hPk1vyG~4EViNe79C-Z-kP3WcMCJvPQW0kXiwQmkhzzXrlVnHJdKAALyNV7ngSqC3VytJoW0c4OhhXjIZFal48uvbPVezAwv6N0g1woE-avn4VA3RmS0WfRD~jHbAYoWHkFRXeI3CZNPeC5eXcfr3jZt6BrFv33bY7y~qUJF0oOQT36cbEFd8kDOWXZuuJ8D-OSY2h~A6MEzo7vkR9uXx94TX6tw__,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://media-hosting.imagekit.io/14612e11fc2a40aa/screenshot_1746242447556.png?Expires=1840850450&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=hjj2ADpqyn5Az1V37Sa2FzrblEIBgmNNZvk3cew~xQ3xBxt0b1gHFSb5vdis~W0~9dRFxPrc3mv1ZsB01vnq5Kqob6TaltOCTEEbks9kU0rG4LByBxk4uLHKZZVuQg2v~V9iZwUvw0XdSez4ZYaDiMdkaFLge2~WZLqq89eO87BVzRNR0Lp26Udu37o0iJWkRknuDVXavewzNgRQZmXWqQJxZ891pD1bLUV78HxoQ8X8uDmnJ2~UL9RnJRQCjFJeQksrUGNR8aTKa408YLshPhPQWOzrfVbArJjiZ3qfWDsp38KaE3IsXCf9JIqLCtW7EZumy5Y-qNr~iGh9ITU75g__,https://www.amazon.in/Biomass-Lab-Sampoorn-Multipurpose-Fertilizer/dp/B07W8N4BVH
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://www.amazon.in/Southern-Ag-Captan-50-Fungicide/dp/B000YHB4HW
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://media-hosting.imagekit.io/e2bb3805d4dd4f60/screenshot_1746242574329.png?Expires=1840850576&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=jsZGJvBbNPh45nD1YSdbCQUgPuZcmsRV5FP95Jh9D9KOe~sdK2YUv6iZ4fkmjBubeiKmfwesix~803VjUM7x85aDRQ2SSZYtlKB2igkERTxluxm8~VMFbmRLALlMuJuGps7pjU8gSI16mV3ZdyqECQyZaCMIcFKRIn39naU414xfvmnVq0VhmWKKE9mccHMNeX1NhlJsGUqfFHNkjMWB6af4jh2DFMbuFoZkmqLE2LWPn4mIqGPrSUXQZ7BhRRzwOys0qMXeP8lFdWZwz5TAIe-4oJnrzWTNbrnc6bubZBD9LAm0pIHiJaSfuX0qoMSoRq0XpVQAi93QhpriqjBb3w__,https://www.agristores.in/products/aliette-fungicide
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,https://www.amazon.in/Sansar-Essential-Powerful-Fertilizer-Organism/dp/B09B3TJ6SF
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://rukminim1.flixcart.com/image/416/416/ju79hu80/soil-manure/x/m/b/400-citrus-plant-food-green-dews-original-imaffbxhn3rz8k5p.jpeg?q=70,https://www.flipkart.com/green-dews-citrus-plant-food-fertilizer/p/itmffde2heg7hkq2?pid=SMNFFBY9Z8DVTXMB&lid=LSTSMNFFBY9Z8DVTXMBEL4PDT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://media-hosting.imagekit.io/4df6c459c4184841/screenshot_1746243495413.png?Expires=1840851498&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=Gpm4q~TFRbwpkeVCtIZ0BfpiqliXIhPJLwRw-CGNOsiydd-PFHeVhMDEHrQ2fkYdY7n9r-4AfUxBL9HwnIYTKSxk4D3vbduaprVsBJIWfuzzmo~yeym~6LrjkEv8-ODt00FvIHK~y4CK9RMFukHtTmmZ2BI94XY5XkDdktHorZZkFVbGZZr9lcn-Y5GSBkzj9b5~TTkqecnoQBAmUf9NtFQerMsBDgZOK550-B5gZWospGCcrhzu-7KHu0Q5ol5~sodk6Xat3DkNGxxZqP5hoMjPO3l0-iAzsC3u42ho8CMNnAI9dD9gbNaeklr7OgBTIXXx6bGYgvaJWw2L1BEAPg__,https://www.bighaat.com/products/score-fungicide?variant=27949138149399&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://media-hosting.imagekit.io/2a2c7736512e4e48/screenshot_1746243539207.png?Expires=1840851541&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=qSQ-mcmgg52Lda3reqZ8-uDTlfcjF2Ouyna6Vu2FMLQD-zFg~1f9mGlGmRybYGBWrws9S92~v8EFPjc9ZV3S6txfBEB9gqI9iKvMBxx2tCfsDx2VAM2ifDjJsLg0iHre-8IGEIZ0vkOPXTeEGsXzn-gQFdgydGAL4nLlm0KwDD05776pySnREWkSWUnaKjSW3SqY-MPJr84m9xuW5Y~s7uoRHCzOavKXbIF2i-VnNVD-j82ifjFiCHsUJ6br5~7QAW~8IiOAl4socATxQVJukvWL~wIyR-jfoPwsuC3hzkeazEbim0xh0jv5bYJwCq7YEjdAHmB0dmxKdH667I~GhA__,https://nurserylive.com/products/jeevamrut-plant-growth-tonic-250-ml-for-garden?variant=34163328811148
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://media-hosting.imagekit.io/0904de12d8b4425a/screenshot_1746243601615.png?Expires=1840851603&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=DtKOpv3QF25VPX1xEyJuuigNHv7hVKHMicVih5Kgv6qSYS9UMkiQOcNAxYumu82uQP45Dy2SptF3VZQC46qiA7VjRpf~w3E43fhb~ZVXn-Io3IzqMYczbGftYABEOAe8Q253KnvnGruPE2io18-2oxiWEPPQ-SybuihpnschPk2G0fHwX9rzFt7ba7wlNM5UDTANZmsDG6yQs0BVhtCdX3KHJzR3xMCmedk~DK-t1ytBK3lOWIBel6B6iF3KeuNd-bFGj9MBMUWklRWBV2KWW7rxGIhlo14PcGforc2t~PMW1Jfq1pBkV0aSKvLtMePsmTNhXhzLShlGF8qHtaFAYw__,https://agribegri.com/products/buy-systemic-fungicide-online--tetraconazole-38--domark-.php
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://media-hosting.imagekit.io/50bf1c317a364aa1/screenshot_1746243655483.png?Expires=1840851662&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=T7POj4wf3WoX9RDELHDuK45qOwG3Dze1yJogtufEsBSOrhNxerduj5wiKwoq1~q~S~WjWr1v-4l1fMec04-ljVd~qYqzBPIrjr6X~6N~JnUN7VwfvGATrRqfM7v0gVNF~f3klcPZAD2KPKrppXVqY49dr1ND5iskK~Hg3v9ZYjodgnWtOgV1dAQE0vPrJk1af45vmgrelcEe4HdtwqVBC~l-J31h0A2QlQyhFdlog6itF~XTxA5lWYX7bEJ2sMeyaA6I1e~iIa2mbtCiNlT6uPpGO8u7j~x2YX0YJUbJVX7gGURvNuyfCyctITGZNtXa2oUcvITGZ33VmwJil1at6Q__,https://www.casagardenshop.com/products/organic-potash-fertilizer-for-gardening-improves-size-of-flowers-fruits-and-vegetables-by-casa-de-amor-1-kg-1?variant=40073291088&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://www.amazon.in/DESI-UTTHANA-Haridrarasa-Curcumin-Bioperine/dp/B07VFTCB58
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://krushikendra.com/image/cache/catalog/syngenta/RIDOMIL-GOLD-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Ridomil-gold-Fungicide-250%20gram
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://s3.images-iherb.com/jte/jte29001/v/6.jpg,https://in.iherb.com/pr/Karen-s-Naturals-Organic-Just-Raspberries-1-5-oz-42-g/37730?gclsrc=ds
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://media-hosting.imagekit.io/ae928e95a8ea4125/screenshot_1746243224019.png?Expires=1840851225&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=j5n1twmpManhnh8xSzG~TQAYzE-yRTGvt~KviUZjdmn-po88jiOyV8IF-xgbiFWqg~RiqAgma6acvOOJ4MreZl0OZdJlD0Mu2V2L5XNPv7P6HO53eUskWAQkE3BjqJTlTY06rKMwAUezndyQNyk48C7fXdP-3Enm-VEsIkyM2LptoxatQjETJcBwh-LDPe26XfJ1MMNUXXmqKQJv7o0WVx7oqx~a4mZ9THPYA9e8nTZ4fR0L3KOlHtFft4okmP-hgXAOKgvb~E3NLGqH~cewprlTLLGT82CFaHI~7FdKOfBjr3u7eV-coLwk3Yu0tRKk0GT~WwnjaR389f9ap0upAQ__,https://inputs.kalgudi.com/p/c/Max-Crop-Organic-Fertilizer/0n99_0n9a?query=Fertilizers&limit=20&view=grid
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://www.arbico-organics.com/product/safergro-mildew-cure/natural-organic-plant-disease-control
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://media-hosting.imagekit.io/60e3c3d72fd64556/screenshot_1746243180663.png?Expires=1840851182&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=SdDer5RoNHJIhc8CZB818tH6xuCVirYUY66JcT0QhA9wSSQPEooGkIYpO2CEt2IYMXNBAN6DOHNU7x3sDQPlQPxLyRq8WRcq38tOCE8cWK1jVD4WHaXXl-U~4VWFK9MWiujRn2sAqTuXATzGIQrNKOBs6ghRU13iGu2mdUy1u2pnsN1jg7ww~WH6jWgH9HGWB7CBMM0jM5ZPaR8f9cyl8eIrjZy3rjLQLQYdD-zBbFRl31Xt2UufjMU5m9BZ9ShBKHwWOQzLDiVaYOXBniv3zsEz3AB53UkRhrSqg3VmlxTksCUpcSwuc1zFtJr4KSCVTknvaangLPDsVfSAt8gFOQ__,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://media-hosting.imagekit.io/02675de8093f49cc/screenshot_1746243044326.png?Expires=1840851046&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=coAT11HmRlBcDyjy0GceSKZ83Tx1PF4Hmcf~sSp2PiDXJhEU0rlgZw50XAqDrkkEUPu1FtoeAJNvc9RGk1evuEzy9bPp28s0kgjk~Imq6Opz5VLkpDipF~1IS1AWZLtIAhCoaNiFMi7S~O3-4Y7UuSf-ZozPdhyUBxQujLeXJjx0c04lFeSG7NDML~jNjbITe0pVwK6D-xFzsw2-JVz4pZaT04ZpgKHA4V8UKTCto4qIY2rLGW283tlYolHHC6NGOurjP2PJElsm3ZbKs6l19~lNV5-SRNPzslDxvHe5X7XUnzMqkZJXLsnyPOodXyX4uZj2lwMrNjH4wNOKSFw9xQ__,https://www.bighaat.com/products/bayer-nativo-fungicide
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://media-hosting.imagekit.io/7ac895bc8fce420e/screenshot_1746242865322.png?Expires=1840850877&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=1jlh2YhwsGCTh5LzAXVzizWjOO2Sca9G2uFdy~auM6ZPiY3YCr~NQF0QXeqK-ShUcbNQ~yHFtAsZEqOHAJTm4piWBBbRav9zG124ddM5Z1Rnx2-q0F0CANJuINGc2m8MjGeloUPbJbiC8Jwg4NjIPlHETAxKdKHHoxJtZ2BpstTnrSxjOBp3eb7k5SHOdXt7cHVNxCF~j3YGKuMlRRV4NxujFddoiPwa5CnwCuhCnCtB68Vn1AFCA2woOmu~VxbA6avpR6kWmwWTXuGPxZuhJOtZ2DA88xP7qTErb2LFhlAe1yeJb2UFWO2~7ujFfnnME8uS--UNWuX9U0W01-Clmg__,https://agribegri.com/products/buy-biostadt-roko-thiophanate-methyl-70-wp.php
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://media-hosting.imagekit.io/099d1bb3a22640cd/screenshot_1746242978952.png?Expires=1840850981&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=IGwek4N0fXIg0ySCiXTuFg~6gAdMqDqj-z1sZE~EqBp8LJwm5MSwVochMsSatYy4jjbPX~HO~M1yj-mHPdZTu52yL0LgkHDV3VD6d835W81sMEcEvCljDlEHNkzMhGtiAXZAbMXyz-Uq1L6eFSTApTPepaDhUgBoPVQWV2I0oGEZiWfPIvG7CxlPcF0yNvUKK9heGqlKoRa-63Een6W7YLQbHhIUhKSoUwYY95M-men2zrWkNgVXDewbBwiuJl3LUqnwr2NDGG4K1Mbd~iiQ17dIGvlJ0svHdMWCwX8ULYKCCuAJTESIIkIizUgAJa85AiiKFt4Zcwl0yormEPKykQ__,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://rukminim1.flixcart.com/image/416/416/k3xcdjk0/soil-manure/y/f/j/100-propineb-70-wp-fungicide-for-plants-diesese-control-propi-original-imafmxg3jghhdyt6.jpeg?q=70,https://agribegri.com/products/dfc.php
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://krushikendra.com/image/cache/catalog/Sygenta/syngenta-amistar-top-fungicides-500x500-800x800.jpg,https://www.amazon.in/Syngenta-Amistar-Fungicide-200ml-Pack/dp/B09R2F2YD5
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRmHRAqOUGXt76NPfOMXrUVRvDt8gRYd3-HTexGYI0d4PNmDuLXbfTchIRipVD-hx1wob7hHyVTbmyS85fTcADpBUMezetO&usqp=CAE,https://agribegri.com/products/viricide-online-.php
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://media-hosting.imagekit.io/22a17ea2550b448d/screenshot_1746242702489.png?Expires=1840850722&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=JD2VbvD7BjeEHO6E7~olDZqsYpQ5npvnI5okFkPkvRc6O6HlBkj6EQ7jngPwtwVbW~3aCRFd-UA6b5gdZzQAPcmyfgGA~-iWhTRLTbbqoua1qNLV71GQ87~rgmrPY~MBIsgA6boGagSJfCBKxMpbbO-mNM-1CfsFoEAo21n4XpSk3Ej5QyO1qEttLH1olZXxf3KKE1e4aFAw9MKzcYOv3IQg5SkpWE2dpaOiiXGq61Kpo06yEf~aVYfyrgn1s6WR3mu~mX4U50owfe-m1F8g5~xNzZXKOwKFLHKEoqig3-7LoGgy-r1ATJqf~0aP3AwZxAyVlbWEcjgdOXy6B51knA__,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
